Comment if error,Asin,UPC,ASIN Name,Brand Name,BU,loaddate
FResh,B01GJA9CN0,13971010015,"Bare Organic Apple Chips, Cinnamon, Gluten Free + Baked, Multi Serve Bag, 3 Oz",Bare Snacks,FLNA,4/28/20
Fresh,B0010BZG48,8259261615,"Naked, Pomegranate Juice, Blueberry 15.2 oz",Naked Juice,Beverages,4/29/20
Fresh,B003QAF8LM,8259292015,"Naked Juice, Orange Mango, 15.2 oz",Naked Juice,Beverages,4/29/20
Fresh,B003QAFAH4,8259263247,"Naked Juice, Berry Vegge Machine, 15.2 oz",Naked Juice,Beverages,4/29/20
Fresh,B003QAFB8M,8259263228,"Naked Juice, Mango Protein Zone, 15.2 oz",Naked Juice,Beverages,4/29/20
Fresh,B003QAFDTY,8259298864,"Naked Juice, Berry Blast, 64 oz",Naked Juice,Beverages,4/29/20
Fresh,B003QAHC7U,8259263232,"Naked Juice, Orange Carrot, 15.2 oz",Naked Juice,Beverages,4/29/20
Fresh,B003QAHD1K,8259291715,"Naked Juice, Power-C Machine,  15.2 oz",Naked Juice,Beverages,4/29/20
Fresh,B003QAHED2,8259263195,"Naked Juice Double Berry Protein Zone, 15.2 oz",Naked Juice,Beverages,4/29/20
Fresh,B003QAHJHS,4850001776,"Tropicana, Orange Juice with Calcium + Vitamin D, No Pulp, 12 oz",Tropicana Pure Premium,Beverages,4/29/20
Fresh,B0041M5V4S,4850001831,"Tropicana, Orange Juice, Grovestand Lots of Pulp, 89 oz",Tropicana Pure Premium,Beverages,4/29/20
Fresh,B007UA9JLO,8259219464,"Naked Juice, Strawberry Banana, 64 oz",Naked Juice,Beverages,4/29/20
Fresh,B00HKGJOK4,8259263375,"Naked Juice, Protein n Greens, 15.2 oz",Naked Juice,Beverages,4/29/20
Fresh,B00HKGJONQ,8259263356,"Naked Juice, Kale Blazer, 15.2 oz",Naked Juice,Beverages,4/29/20
Drew Cost 2018 requested,B0004N03TQ,NULL,DIET MOUNTAIN DEW SODA DEW PLASTIC BOTTLE 1 CT 20 OZ,NULL,NULL,NULL
Drew Cost 2018 requested,B0068UBV6I,NULL,"Pepsi, 20oz Bottle",NULL,NULL,NULL
Drew Cost 2018 requested,B00B8F1PNW,NULL,IZZE FORTIFIED REGULAR POMEGRANATE SPARKLING JUICE DRK 1 CT 8.4 OZ,NULL,NULL,NULL
Drew Cost 2018 requested,B00D6TAMDM,NULL,LIPTON BRISK RASPBERRY PREPARED ICED TEA PLASTIC JUG 1 CT 128 OZ,NULL,NULL,NULL
Drew Cost 2018 requested,B00HV07UF0,NULL,GATORADE RECOVER PEANUT BUTTER CHOC DIETARY SUPPLEMENT PLASTIC BOTTLE 1 CT 11.16 OZ,NULL,NULL,NULL
Drew Cost 2018 requested,B00KTZ9TIK,NULL,IZZE FORTIFIED REGULAR POMEGRANATE SPARKLING JUICE DRK 1 CT 8.4 OZ,NULL,NULL,NULL
Drew Cost 2018 requested,B01E7DXH6Y,NULL,GATORADE G2 GLACIER FREEZE THIRST QUENCHER PLASTIC BOTTLE 1 CT 28 OZ,NULL,NULL,NULL
Curtis Calloway 2018 requested,B0747N6CZ6,NULL,"Doritos Dinamita Chile Limon Rolled Flavored Tortilla Chips, 3.75 oz",Doritos,NULL,NULL
Drew Cost 2018 requested,B071F6W1LY,NULL,PEPSI REAL SUGAR COLA SODA COLA CAN 6 CT 45 OZ,NULL,NULL,NULL
Curtis Calloway 2018 requested,B078HSY2K5,NULL,"Doritos Blaze Flavored Tortilla Chips, 9.75 oz Bag",Doritos,NULL,NULL
Drew Cost 2018 requested,B071HSMS2S,NULL,MTN DEW BASE SODA DEW CAN 6 CT 45 OZ,NULL,NULL,NULL
Fresh,B009D19DIC,52000134629,Gatorade G Series Perform 02 Strawberry Watermelon 32 Fl Oz,Gatorade,Beverages,6/1/20
Drew Cost 2018 requested,B078HP4ZP2,NULL,"Bubly Sparkling Water, Mango, 12 oz, 8 ct",NULL,NULL,NULL
Drew Cost 2018 requested,B078HQ7VPC,NULL,"Bubly Sparkling Water, Lemon, 12 oz, 8 ct",NULL,NULL,NULL
Drew Cost 2018 requested,B078HQBGPR,NULL,"Bubly Sparkling Water, Orange, 12 oz, 8 ct",NULL,NULL,NULL
Drew Cost 2018 requested,B078HRD4VB,NULL,"Bubly Sparkling Water, Grapefruit, 12 oz, 8 ct",NULL,NULL,NULL
Drew Cost 2018 requested,B078HRLNL6,NULL,"Bubly Sparkling Water, Strawberry, 12 ounce CansÂ (Pack of 8)",NULL,NULL,NULL
Drew Cost 2018 requested,B078HRLP2P,NULL,"Mountain Dew ICE, 2000 ml",NULL,NULL,NULL
Drew Cost 2018 requested,B078HRNNHZ,NULL,"Bubly Sparkling Water, Apple, 12 oz, 8 ct",NULL,NULL,NULL
Drew Cost 2018 requested,B078HSBHM1,NULL,"Bubly Sparkling Water, Lime, 12 oz, 8 ct",NULL,NULL,NULL
Drew Cost 2018 requested,B078HSJ2BL,NULL,"Mountain Dew ICE, 12 oz, 12 ct",NULL,NULL,NULL
Drew Cost 2018 requested,B079D3X2P6,NULL,"Diet Pepsi Cans, 7.5 Ounce, 8 Count",NULL,NULL,NULL
Andrew Stormont 2018 Requested,B000R9EENS,NULL,"Lipton Diet Green Tea with Citrus, 12-Pack, 16.9 oz Bottles",Diet Lipton,NULL,NULL
Drew Cost 2018 requested,B07895QQPF,NULL,"Quaker Organic Old Fashioned Oats, Non-GMO Project Verified, 1 lb Resealable Bag",Quaker,NULL,NULL
Fresh,B00B72B5R2,52000122060,"Gatorade Cool Blue Sports Drink, 12 Ct/144 Fl Oz",Gatorade,Beverages,6/1/20
Drew Cost 2018 requested,B079X66TYZ,NULL,"Diet Pepsi, Caffeine Free, 12 ounce, 12 count",Diet Pepsi,NULL,NULL
Drew Cost 2018 requested,B079X66Y5H,NULL,"Diet Pepsi, Caffeine Free, 12 ounce Cans, 24 Count",Diet Pepsi,NULL,NULL
Drew Cost 2018 requested,B079XFP18Z,NULL,"Diet Wild Cherry Pepsi, 12 ounce Cans, 12 Count",Diet Pepsi,NULL,NULL
Drew Cost 2018 requested,B01KT9KMPY,NULL,"Gatorade Whey Protein Recover Bars, Chocolate Caramel, 6 Count",Gatorade,NULL,NULL
Drew Cost 2018 requested,B076CHMH8Q,NULL,"Aquafina Water, 20oz Bottle",Aquafina,NULL,NULL
